title,star,director,actor,date,img_src
고백,6.06,서은영,"박하선, 하윤경, 감소현",2021.02.24,https://movie-phinf.pstatic.net/20210323_142/1616486373585xOa7v_JPEG/movie_image.jpg?type=m99_141_2
리틀 조,5.50,예시카 하우스너,"에밀리 비샴, 벤 위쇼, 키트 코너",2021.04.01,https://movie-phinf.pstatic.net/20210325_132/16166613479694u39i_JPEG/movie_image.jpg?type=m99_141_2
가나의 혼인잔치: 언약,9.42,브렌트 밀러 주니어,"션 알다란, 잭 힙스, 젬마 리주토, 케빈 헤이어, J.D 파락",2020.11.26,https://movie-phinf.pstatic.net/20201023_21/1603421248315A8uvj_JPEG/movie_image.jpg?type=m99_141_2
너의 이름은.,8.79,신카이 마코토,"카미키 류노스케, 카미시라이시 모네",2018.01.04,https://movie-phinf.pstatic.net/20171222_70/1513920001726sikUX_JPEG/movie_image.jpg?type=m99_141_2
아이카,9.50,세르게이 드보르체보이,사말 예슬라모바,2021.03.25,https://movie-phinf.pstatic.net/20210311_223/1615453972813YJ5GV_JPEG/movie_image.jpg?type=m99_141_2
유공자,8.50,박상훈,"박해택, 동방우, 김새벽, 한대수, 장리우, 한사명, 오승희",2021.03.01,https://movie-phinf.pstatic.net/20210224_129/1614143384817FSlm4_JPEG/movie_image.jpg?type=m99_141_2
마태복음,7.71,피에르 파올로 파졸리니,"엔리케 이라조퀴, 마르게리타 카루소, 수잔나 파솔리니",2001.03.24,https://movie-phinf.pstatic.net/20111222_8/1324530628278p3TjK_JPEG/movie_image.jpg?type=m99_141_2
밤빛,8.60,김무영,"송재룡, 지대한",2021.03.04,https://movie-phinf.pstatic.net/20210204_171/1612401648317NgFUf_JPEG/movie_image.jpg?type=m99_141_2
추룡 2 : 패왕,9.33,왕정,"양가휘, 고천락, 임달화, 임가동",2021.04.01,https://movie-phinf.pstatic.net/20210118_106/16109380921455Ax9y_JPEG/movie_image.jpg?type=m99_141_2
미션 파서블,7.33,김형주,"김영광, 이선빈",2021.02.17,https://movie-phinf.pstatic.net/20210217_241/1613552832867Ef7Rb_JPEG/movie_image.jpg?type=m99_141_2
신 고질라,4.98,안노 히데아키,"하세가와 히로키, 다케노우치 유타카, 이시하라 사토미",2017.03.08,https://movie-phinf.pstatic.net/20170303_253/14885224385190u8vi_JPEG/movie_image.jpg?type=m99_141_2
애비규환,6.92,최하나,"크리스탈, 장혜진, 최덕문, 이해영",2020.11.12,https://movie-phinf.pstatic.net/20201026_228/1603688295184ISYNW_JPEG/movie_image.jpg?type=m99_141_2
UFO 스케치,9.17,김진욱,"맹성렬, 임병선, 장호동, 지영해, 서종한, 김선규, 허준, 배일환",2021.03.04,https://movie-phinf.pstatic.net/20210225_292/1614228206718j9AkY_JPEG/movie_image.jpg?type=m99_141_2
